54
1	13	9.1	0	0	
2	21	14.7	0	0	
3	17	11.9	0	0	
4	17	11.9	0	0	
5	18	12.6	0	0	
6	923	92.3	0	1	
7	138	96.6	0	0	
8	140	96.8	0	0	
9	17	11.9	0	0	
10	17	11.9	0	0	
11	21	14.7	0	0	
12	34	23.8	0	0	
13	21	14.7	0	0	
14	34	23.8	0	0	
15	39	27.3	0	0	
16	4	2.8	0	0	
17	29	20.3	0	0	
18	40	28	0	0	
19	366	235.8	0	0	
20	24	16.8	0	0	
21	34	23.8	0	0	
22	448	301.6	0	0	
23	11	7.7	0	0	
24	11	7.7	0	0	
25	11	7.7	0	0	
26	29	20.3	0	0	
27	145	93.7	0	0	
28	145	93.7	0	0	
29	200	132.2	0	0	
30	29	20.3	0	0	
31	15	10.5	0	0	
32	559	391.3	0	0	
33	39	27.3	0	0	
34	109	76.3	0	0	
35	225	157.5	0	0	
36	99	69.3	0	0	
37	258	180.6	0	0	
38	270	189	0	0	
39	102	71.4	0	0	
40	94	65.8	0	0	
41	88	61.6	0	0	
42	34	23.8	0	0	
43	69	48.3	0	0	
44	53	37.1	0	0	
45	749	524.3	0	0	
46	795	556.5	0	0	
47	896	627.2	0	0	
48	285	199.5	0	0	
49	412	288.4	0	0	
50	351	245.7	0	0	
51	1071	719.7	0	0	
52	661	450.7	0	0	
53	2552	255.2	0	1	
54	3138	313.8	0	1	
